epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.5718,2.93431,0.85216,0.95459,0.89146,8.12454e-05,8.12454e-05,8.12454e-05
2,148.58,0.92433,0.94297,0.98703,0.22246,0.000151849,0.000151849,0.000151849
3,216.123,0.55813,0.96568,0.99351,0.12423,0.000211716,0.000211716,0.000211716
4,286.922,0.47666,0.97108,0.99378,0.10367,0.000195688,0.000195688,0.000195688
5,355.295,0.42074,0.97405,0.99568,0.08439,0.000179584,0.000179584,0.000179584
6,423.49,0.37966,0.97676,0.99757,0.07405,0.00016348,0.00016348,0.00016348
7,494.258,0.37153,0.97595,0.99649,0.07186,0.000147376,0.000147376,0.000147376
8,563.412,0.34231,0.97595,0.99622,0.06782,0.000131272,0.000131272,0.000131272
9,631.919,0.33318,0.97892,0.99757,0.06065,0.000115168,0.000115168,0.000115168
10,699.572,0.31797,0.98054,0.99757,0.05844,9.9064e-05,9.9064e-05,9.9064e-05
11,767.311,0.30629,0.98324,0.99838,0.05133,8.296e-05,8.296e-05,8.296e-05
12,836.223,0.32223,0.98351,0.99865,0.04977,6.6856e-05,6.6856e-05,6.6856e-05
13,903.196,0.30618,0.98297,0.99811,0.05047,5.0752e-05,5.0752e-05,5.0752e-05
14,971.317,0.29821,0.98351,0.99811,0.04919,3.4648e-05,3.4648e-05,3.4648e-05
15,1036.67,0.2937,0.98432,0.99865,0.04759,1.8544e-05,1.8544e-05,1.8544e-05
