epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21482,1.16788,3.96172,1.17488,0.00156,0.4375,0.00121,0.0007,0.95964,4.03056,1.12477,6e-05,6e-05,6e-05
2,4.51229,0.90841,4.05991,1.01382,0.00333,0.9375,0.3539,0.2613,0.59824,3.57713,0.8231,0.000137228,0.000137228,0.000137228
3,5.68772,0.87643,3.17804,0.93827,0.00333,0.9375,0.81758,0.62803,0.63813,3.24977,0.76782,0.000211288,0.000211288,0.000211288
4,6.83393,0.81665,2.15528,0.93533,0.00333,0.9375,0.82308,0.55651,0.76059,3.17042,0.76424,0.00028218,0.00028218,0.00028218
5,7.91445,0.73169,2.05493,0.86144,0.00333,0.9375,0.7626,0.61346,0.60967,3.27253,0.75539,0.000349904,0.000349904,0.000349904
6,9.04794,0.78346,1.82912,0.92519,0.00333,0.9375,0.56591,0.43566,0.64079,3.4166,0.79271,0.00041446,0.00041446,0.00041446
7,10.129,0.84042,1.84548,0.92297,0.00333,0.9375,0.47242,0.37126,0.6021,3.31413,0.79523,0.000475848,0.000475848,0.000475848
8,11.2219,0.69635,1.66575,0.91115,0.00333,0.9375,0.41597,0.32154,0.61413,3.25716,0.80736,0.000534068,0.000534068,0.000534068
9,12.3318,0.73505,1.625,0.90694,0.00333,0.9375,0.31163,0.27256,0.4899,3.27133,0.80417,0.00058912,0.00058912,0.00058912
10,13.4022,0.80098,1.73919,0.98358,0.00333,0.9375,0.31041,0.27256,0.51349,3.28502,0.81492,0.000641004,0.000641004,0.000641004
11,14.5276,0.81197,1.8605,1.01668,0.00333,0.9375,0.8756,0.74674,0.57183,3.06025,0.81878,0.00068972,0.00068972,0.00068972
12,15.6909,0.85632,1.33756,0.94305,0.98571,0.875,0.93136,0.77177,0.66218,2.99483,0.84219,0.000735268,0.000735268,0.000735268
13,16.8885,0.83172,1.51174,0.91611,0.16011,0.8125,0.77983,0.60196,0.79839,3.1282,0.89283,0.000777648,0.000777648,0.000777648
14,17.9703,0.84539,1.47343,0.94004,0.00556,0.9375,0.88319,0.71728,0.65501,3.06414,0.8727,0.00081686,0.00081686,0.00081686
15,19.085,0.82099,1.50947,0.98947,1,0.46528,0.93136,0.81831,0.59437,2.83416,0.85705,0.000852904,0.000852904,0.000852904
16,20.2296,0.79178,1.27931,0.92264,1,0.66501,0.93511,0.77306,0.65253,2.75582,0.88057,0.00088578,0.00088578,0.00088578
17,21.4196,0.77293,1.46844,0.9476,1,0.68471,0.92805,0.7389,0.67889,2.64763,0.87892,0.000915488,0.000915488,0.000915488
18,22.6538,0.7171,1.24856,0.91061,1,0.81337,0.93136,0.81751,0.51846,2.40126,0.85745,0.000942028,0.000942028,0.000942028
19,23.7281,0.64146,1.37317,0.92313,1,0.84092,0.93511,0.80419,0.57482,2.30023,0.86974,0.0009654,0.0009654,0.0009654
20,24.7804,0.70017,1.35095,0.94304,1,0.8544,0.93511,0.8167,0.60308,2.2942,0.87139,0.000985604,0.000985604,0.000985604
21,25.9017,0.65107,1.15466,0.90746,0.98493,0.8125,0.90091,0.78818,0.63892,2.3197,0.85641,0.00100264,0.00100264,0.00100264
22,27.0963,0.7133,1.22642,0.94718,1,0.86921,0.92805,0.80053,0.62038,2.16259,0.86855,0.00101651,0.00101651,0.00101651
23,28.144,0.80545,1.1473,0.9244,1,0.91451,0.93511,0.7903,0.62389,1.99425,0.88278,0.00102721,0.00102721,0.00102721
24,29.187,0.71879,1.23549,0.88139,0.99463,0.9375,0.93511,0.77679,0.67562,1.89131,0.89941,0.00103474,0.00103474,0.00103474
25,30.239,0.77229,1.27142,0.92907,0.97302,0.9375,0.93511,0.77456,0.65654,1.78541,0.8818,0.0010391,0.0010391,0.0010391
26,31.282,0.71491,1.18404,0.91641,0.97646,0.9375,0.93511,0.81907,0.5418,1.61185,0.84803,0.00101,0.00101,0.00101
27,32.333,0.63672,1.0958,0.89837,0.86683,0.81375,0.91599,0.82153,0.56769,1.48124,0.85487,0.0009704,0.0009704,0.0009704
28,33.3872,0.69395,1.06178,0.9329,0.87388,0.9375,0.92405,0.80519,0.55922,1.38337,0.85698,0.0009308,0.0009308,0.0009308
29,34.4368,0.64912,0.97634,0.91142,0.98846,0.9375,0.93511,0.83688,0.55134,1.22564,0.85595,0.0008912,0.0008912,0.0008912
30,35.4706,0.65045,0.96726,0.90392,0.99281,0.9375,0.93511,0.83697,0.54114,1.07508,0.8569,0.0008516,0.0008516,0.0008516
31,36.6572,0.61016,0.96603,0.89031,0.99213,0.9375,0.93511,0.81616,0.59178,1.07376,0.85099,0.000812,0.000812,0.000812
32,37.7029,0.60693,0.90095,0.8692,0.99538,0.9375,0.93511,0.81368,0.59648,1.07657,0.85453,0.0007724,0.0007724,0.0007724
33,38.7369,0.59603,0.9912,0.87249,0.98938,0.9375,0.93511,0.81495,0.60933,1.05749,0.86051,0.0007328,0.0007328,0.0007328
34,39.794,0.68696,1.03593,0.92343,0.98977,0.9375,0.93511,0.82228,0.57183,0.96548,0.85871,0.0006932,0.0006932,0.0006932
35,40.8142,0.63174,1.00365,0.90452,0.99504,0.9375,0.93511,0.83184,0.5785,0.87384,0.86231,0.0006536,0.0006536,0.0006536
36,41.8441,0.60548,0.98396,0.86434,0.99679,0.9375,0.93511,0.82938,0.5758,0.81004,0.85699,0.000614,0.000614,0.000614
37,42.8608,0.57298,0.97512,0.92042,0.99615,0.9375,0.93511,0.81109,0.581,0.79808,0.86326,0.0005744,0.0005744,0.0005744
38,43.9032,0.53601,0.94463,0.86981,0.99492,0.9375,0.93511,0.80338,0.58727,0.81842,0.85952,0.0005348,0.0005348,0.0005348
39,44.9436,0.56858,0.87586,0.87499,0.99248,0.9375,0.93511,0.78972,0.5703,0.80546,0.8559,0.0004952,0.0004952,0.0004952
40,45.9852,0.60713,0.88903,0.89446,0.99445,0.9375,0.93511,0.81035,0.53054,0.78349,0.84917,0.0004556,0.0004556,0.0004556
41,75.8755,0.46458,0.9844,0.86421,0.99535,0.9375,0.93511,0.81986,0.4909,0.75556,0.83951,0.000416,0.000416,0.000416
42,77.0045,0.4804,0.95794,0.82201,0.99428,0.9375,0.93511,0.85163,0.47769,0.76033,0.83153,0.0003764,0.0003764,0.0003764
43,78.0463,0.45219,0.99904,0.81941,0.99532,0.9375,0.93511,0.85422,0.47104,0.75547,0.82985,0.0003368,0.0003368,0.0003368
44,79.1768,0.47137,0.99415,0.87496,0.99664,0.9375,0.93511,0.83807,0.49638,0.72409,0.83043,0.0002972,0.0002972,0.0002972
